order_id,customer_id,order_date,product_name,category,quantity,unit_price,discount_pct,final_amount,payment_method,device_type,city,order_status
ORD10027,CUST00551,2024-09-18,Sunscreen,Beauty,5,727.17,0,3635.85,UPI,Desktop,Delhi,Delivered
ORD10028,CUST00209,2024-10-07,Earphones,Electronics,5,1399.17,0,6995.85,UPI,Mobile,Lucknow,Delivered
ORD10029,CUST01752,2024-09-09,Sunscreen,Beauty,3,329.86,0,989.58,Debit Card,Tablet,Mumbai,Delivered
ORD10030,CUST00523,2024-01-12,Laptop,Electronics,2,77527.29,15,131796.39,Net Banking,Mobile,Pune,Delivered
ORD10031,CUST00634,2024-09-12,Mixer Grinder,Home & Kitchen,2,3747.31,0,7494.62,Net Banking,Mobile,Bhopal,Delivered
ORD10032,CUST01017,2024-10-11,Sneakers,Fashion,1,4524.66,0,4524.66,COD,Desktop,Bengaluru,Returned
ORD10033,CUST00933,2024-04-27,Self Help,Books,1,421.14,10,379.03,COD,Mobile,Mumbai,Delivered
ORD10034,CUST02197,2024-12-09,Children Book,Books,3,218.54,0,655.62,UPI,Desktop,Mumbai,Delivered
ORD10035,CUST01788,2024-02-14,Tablet PC,Electronics,3,19464.2,0,58392.6,UPI,Tablet,Jaipur,Cancelled
ORD10036,CUST02206,2024-01-14,Bluetooth Speaker,Electronics,2,7346.78,5,13958.88,Credit Card,Tablet,Nagpur,Delivered
ORD10037,CUST02078,2024-09-22,Children Book,Books,1,208.27,5,197.86,Credit Card,Desktop,Lucknow,Cancelled
ORD10038,CUST00713,2024-02-14,Hair Serum,Beauty,3,841.64,15,2146.18,COD,Tablet,Surat,Cancelled
ORD10039,CUST01905,2024-05-14,Vacuum Cleaner,Home & Kitchen,1,7931.43,5,7534.86,Net Banking,Desktop,Ahmedabad,Delivered
ORD10040,CUST00383,2024-05-22,Children Book,Books,2,252.35,0,504.7,Net Banking,Mobile,Lucknow,Cancelled
ORD10041,CUST02358,2024-01-16,Air Purifier,Home & Kitchen,2,13065.63,0,26131.26,Net Banking,Mobile,Nagpur,Delivered
ORD10042,CUST02122,2024-09-01,History Book,Books,2,471.47,0,942.94,Credit Card,Desktop,Mumbai,Delivered
ORD10043,CUST01813,2024-03-15,Cycling Gloves,Sports,1,657.74,10,591.97,Net Banking,Tablet,Bhopal,Delivered
ORD10044,CUST01136,2024-11-24,History Book,Books,5,622.76,10,2802.42,COD,Tablet,Ahmedabad,Delivered
ORD10045,CUST00618,2024-04-11,Children Book,Books,1,181.38,5,172.31,UPI,Mobile,Kolkata,Delivered
ORD10046,CUST01721,2024-06-18,Technical Book,Books,1,1034.78,10,931.3,COD,Desktop,Coimbatore,Delivered
ORD10047,CUST01717,2024-07-12,Yoga Mat,Sports,5,1170.06,10,5265.27,UPI,Tablet,Nagpur,Delivered
ORD10048,CUST01915,2024-07-13,Children Book,Books,3,245.47,10,662.77,UPI,Mobile,Surat,Delivered
ORD10049,CUST00206,2024-09-03,Yoga Mat,Sports,5,1215.24,20,4860.96,COD,Desktop,Kolkata,Delivered
ORD10050,CUST00080,2024-04-27,Air Purifier,Home & Kitchen,3,9546.99,10,25776.87,COD,Tablet,Jaipur,Delivered
ORD10051,CUST00978,2024-10-08,Smart TV,Electronics,1,31211.11,0,31211.11,Debit Card,Mobile,Ahmedabad,Delivered
ORD10052,CUST00470,2024-10-25,Self Help,Books,2,502.79,10,905.02,UPI,Mobile,Pune,Returned
ORD10053,CUST00995,2024-06-23,Smartphone,Electronics,5,42866.62,10,192899.79,Debit Card,Mobile,Nagpur,Delivered
ORD10054,CUST01398,2024-05-14,Bedsheet,Home & Kitchen,5,1036.98,0,5184.9,UPI,Mobile,Bhopal,Delivered
ORD10055,CUST01107,2024-10-14,Nail Polish,Beauty,3,130.66,10,352.78,Debit Card,Tablet,Indore,Delivered
ORD10056,CUST01847,2024-05-08,Resistance Bands,Sports,5,624.41,5,2965.95,Credit Card,Mobile,Indore,Cancelled
ORD10057,CUST01395,2024-03-07,Face Wash,Beauty,4,300.38,5,1141.44,UPI,Desktop,Coimbatore,Cancelled
ORD10058,CUST01951,2024-02-24,Running Shoes,Sports,5,4000.06,0,20000.3,COD,Tablet,Nagpur,Delivered
ORD10059,CUST02383,2024-04-23,Nail Polish,Beauty,1,336.88,5,320.04,Debit Card,Desktop,Ahmedabad,Cancelled
ORD10060,CUST01030,2024-06-15,Football,Sports,5,1350.01,5,6412.55,UPI,Mobile,Delhi,Cancelled
ORD10061,CUST02149,2024-03-24,Children Book,Books,5,193.66,0,968.3,COD,Tablet,Pune,Delivered
ORD10062,CUST01124,2024-05-23,Smartwatch,Electronics,3,5666.22,0,16998.66,Net Banking,Mobile,Mumbai,Returned
ORD10063,CUST01923,2024-02-01,Running Shoes,Sports,2,4637.38,10,8347.28,Net Banking,Desktop,Ahmedabad,Cancelled
ORD10064,CUST00220,2024-02-03,Cookware Set,Home & Kitchen,3,3406.84,10,9198.47,COD,Mobile,Bengaluru,Delivered
ORD10065,CUST00925,2024-08-14,Running Shoes,Sports,2,1882.31,0,3764.62,Net Banking,Tablet,Kolkata,Delivered
ORD10066,CUST00407,2024-05-20,Nail Polish,Beauty,5,188.21,10,846.95,Credit Card,Mobile,Lucknow,Delivered
ORD10067,CUST01925,2024-03-03,Jacket,Fashion,2,4470.93,0,8941.86,Debit Card,Desktop,Mumbai,Delivered
ORD10068,CUST01742,2024-10-09,Jacket,Fashion,4,4680.3,0,18721.2,Net Banking,Mobile,Jaipur,Returned
ORD10069,CUST02332,2024-01-26,Sneakers,Fashion,2,4632.65,0,9265.3,UPI,Desktop,Ahmedabad,Delivered
ORD10070,CUST01770,2024-08-16,Power Bank,Electronics,4,2315.09,5,8797.34,COD,Tablet,Chennai,Delivered
ORD10071,CUST00718,2024-09-01,Running Shoes,Sports,2,1615.39,20,2584.62,UPI,Desktop,Jaipur,Delivered
ORD10072,CUST01926,2024-07-27,Comic Book,Books,2,469.63,20,751.41,COD,Desktop,Kolkata,Returned
ORD10073,CUST02254,2024-06-16,Pillow Set,Home & Kitchen,2,1872.25,5,3557.27,UPI,Mobile,Ahmedabad,Delivered
ORD10074,CUST00223,2024-11-27,Smart TV,Electronics,1,32619.94,10,29357.95,Credit Card,Mobile,Jaipur,Delivered
ORD10075,CUST01986,2024-04-05,Rice Cooker,Home & Kitchen,1,3263.85,0,3263.85,UPI,Mobile,Mumbai,Delivered
ORD10076,CUST00465,2024-01-14,Children Book,Books,3,311.93,15,795.42,Credit Card,Desktop,Delhi,Returned
ORD10077,CUST00999,2024-10-14,Technical Book,Books,3,847.54,15,2161.23,COD,Desktop,Jaipur,Returned
ORD10078,CUST01700,2024-10-05,Kurta,Fashion,5,880.22,15,3740.94,Credit Card,Desktop,Coimbatore,Cancelled
ORD10079,CUST01830,2024-11-19,Running Shoes,Sports,3,5191.47,5,14795.69,COD,Tablet,Ahmedabad,Returned
ORD10080,CUST02343,2024-07-11,Pillow Set,Home & Kitchen,5,1647.64,10,7414.38,Debit Card,Desktop,Hyderabad,Returned
ORD10081,CUST00518,2024-06-22,Face Cream,Beauty,4,421.72,10,1518.19,Debit Card,Tablet,Surat,Delivered
ORD10082,CUST01680,2024-08-15,Bedsheet,Home & Kitchen,4,1099.35,0,4397.4,Credit Card,Tablet,Bengaluru,Returned
ORD10083,CUST02186,2024-09-13,Power Bank,Electronics,3,2519.36,5,7180.18,Credit Card,Desktop,Chennai,Cancelled
ORD10084,CUST00371,2024-01-21,Comic Book,Books,1,454.33,20,363.46,UPI,Desktop,Delhi,Returned
ORD10085,CUST01469,2024-01-26,Self Help,Books,3,448.66,0,1345.98,Credit Card,Desktop,Kolkata,Cancelled
ORD10086,CUST00987,2024-03-03,Dress,Fashion,5,1873.8,0,9369.0,Net Banking,Desktop,Coimbatore,Delivered
ORD10087,CUST02239,2024-04-01,Cricket Bat,Sports,3,1388.44,10,3748.79,COD,Mobile,Delhi,Returned
ORD10088,CUST01576,2024-10-15,Hair Serum,Beauty,3,1485.42,10,4010.63,UPI,Desktop,Delhi,Returned
ORD10089,CUST02319,2024-12-10,Kurta,Fashion,5,1642.85,5,7803.54,Credit Card,Tablet,Indore,Delivered
ORD10090,CUST00898,2024-10-08,Fiction Novel,Books,4,563.25,5,2140.35,Net Banking,Tablet,Hyderabad,Cancelled
ORD10091,CUST01806,2024-12-21,Running Shoes,Sports,2,4548.94,0,9097.88,Credit Card,Mobile,Surat,Cancelled
ORD10092,CUST02210,2024-10-06,Cookware Set,Home & Kitchen,3,1043.36,5,2973.58,Debit Card,Desktop,Jaipur,Returned
ORD10093,CUST00309,2024-12-10,Running Shoes,Sports,3,5236.13,10,14137.55,UPI,Mobile,Indore,Delivered
ORD10094,CUST02198,2024-02-13,Kurta,Fashion,5,2433.54,5,11559.32,Credit Card,Mobile,Ahmedabad,Cancelled
ORD10095,CUST02300,2024-10-16,Water Bottle,Home & Kitchen,3,608.19,0,1824.57,Credit Card,Desktop,Coimbatore,Delivered
ORD10096,CUST01247,2024-09-04,Cycling Gloves,Sports,4,522.83,5,1986.75,Debit Card,Desktop,Delhi,Delivered
ORD10097,CUST00633,2024-07-22,Smartwatch,Electronics,2,10985.33,10,19773.59,Net Banking,Desktop,Lucknow,Delivered
ORD10098,CUST01486,2024-10-07,Power Bank,Electronics,3,2154.43,0,6463.29,COD,Mobile,Lucknow,Delivered
ORD10099,CUST00088,2024-12-28,Pillow Set,Home & Kitchen,3,714.05,0,2142.15,COD,Mobile,Indore,Delivered
ORD10100,CUST02402,2024-01-25,Air Purifier,Home & Kitchen,5,14888.21,0,74441.05,Net Banking,Mobile,Bhopal,Returned
ORD10101,CUST00715,2024-04-05,Saree,Fashion,5,7171.39,0,35856.95,Debit Card,Mobile,Lucknow,Delivered
ORD10102,CUST01725,2024-05-06,Earphones,Electronics,2,832.69,20,1332.3,UPI,Tablet,Delhi,Delivered
ORD10103,CUST00178,2024-09-15,Self Help,Books,3,463.31,15,1181.44,Net Banking,Tablet,Indore,Returned
ORD10104,CUST01817,2024-12-28,Biography,Books,1,528.02,0,528.02,COD,Mobile,Coimbatore,Delivered
ORD10105,CUST01561,2024-04-21,Smart TV,Electronics,1,50414.87,0,50414.87,Net Banking,Tablet,Jaipur,Delivered
ORD10106,CUST01762,2024-11-04,Rice Cooker,Home & Kitchen,4,2868.32,0,11473.28,Net Banking,Desktop,Coimbatore,Returned
ORD10107,CUST01045,2024-06-04,Kurta,Fashion,4,1176.86,10,4236.7,UPI,Desktop,Bengaluru,Delivered
ORD10108,CUST02279,2024-07-24,Comic Book,Books,1,172.5,0,172.5,UPI,Mobile,Surat,Returned
ORD10109,CUST00211,2024-11-25,Football,Sports,4,1839.03,5,6988.31,COD,Desktop,Surat,Returned
ORD10110,CUST02279,2024-03-16,Pillow Set,Home & Kitchen,5,795.84,0,3979.2,Debit Card,Desktop,Delhi,Delivered
ORD10111,CUST01096,2024-09-21,Air Purifier,Home & Kitchen,5,13072.21,20,52288.84,Net Banking,Mobile,Bengaluru,Delivered
ORD10112,CUST00126,2024-03-05,Water Bottle,Home & Kitchen,3,844.08,0,2532.24,Net Banking,Mobile,Nagpur,Delivered
ORD10113,CUST00216,2024-03-10,Cycling Gloves,Sports,4,387.1,5,1470.98,UPI,Mobile,Bengaluru,Delivered
ORD10114,CUST00883,2024-09-16,Yoga Mat,Sports,3,1005.57,10,2715.04,Net Banking,Tablet,Delhi,Delivered
ORD10115,CUST01619,2024-08-10,Vacuum Cleaner,Home & Kitchen,5,3998.01,10,17991.05,Credit Card,Tablet,Mumbai,Returned
ORD10116,CUST01764,2024-10-10,Smartwatch,Electronics,2,5712.77,0,11425.54,UPI,Mobile,Bengaluru,Delivered
ORD10117,CUST00319,2024-06-24,Lipstick,Beauty,3,499.16,0,1497.48,Credit Card,Desktop,Surat,Delivered
ORD10118,CUST01885,2024-02-01,Face Wash,Beauty,4,468.27,5,1779.43,UPI,Tablet,Coimbatore,Returned
ORD10119,CUST01271,2024-07-13,Bedsheet,Home & Kitchen,1,749.37,0,749.37,Net Banking,Tablet,Chennai,Delivered
ORD10120,CUST01432,2024-09-17,Saree,Fashion,1,7209.85,15,6128.37,Net Banking,Desktop,Nagpur,Returned
ORD10121,CUST02024,2024-03-20,Technical Book,Books,2,611.64,5,1162.12,Debit Card,Desktop,Indore,Delivered
ORD10122,CUST01802,2024-05-21,Resistance Bands,Sports,5,775.79,20,3103.16,UPI,Mobile,Ahmedabad,Returned
ORD10123,CUST00234,2024-06-03,Sunscreen,Beauty,5,856.43,0,4282.15,UPI,Desktop,Bhopal,Delivered
ORD10124,CUST00169,2024-09-13,Bedsheet,Home & Kitchen,1,915.73,20,732.58,COD,Desktop,Coimbatore,Cancelled
ORD10125,CUST01407,2024-03-02,Cycling Gloves,Sports,4,359.76,15,1223.18,COD,Tablet,Delhi,Delivered
ORD10126,CUST01528,2024-08-20,Cricket Bat,Sports,4,732.08,10,2635.49,Debit Card,Desktop,Kolkata,Cancelled
ORD10127,CUST00616,2024-01-04,Hair Serum,Beauty,1,1145.79,5,1088.5,Net Banking,Desktop,Delhi,Delivered
ORD10128,CUST02290,2024-02-23,Cricket Bat,Sports,3,3715.94,10,10033.04,Credit Card,Desktop,Lucknow,Cancelled
ORD10129,CUST00075,2024-09-14,Cookware Set,Home & Kitchen,5,2609.31,0,13046.55,Net Banking,Desktop,Pune,Cancelled
ORD10130,CUST00415,2024-04-05,Dress,Fashion,4,1419.16,0,5676.64,Debit Card,Tablet,Indore,Delivered
ORD10131,CUST00679,2024-09-05,Yoga Mat,Sports,5,994.74,0,4973.7,Debit Card,Tablet,Ahmedabad,Returned
ORD10132,CUST01922,2024-09-25,Bluetooth Speaker,Electronics,2,3867.95,10,6962.31,COD,Mobile,Chennai,Delivered
ORD10133,CUST00567,2024-08-14,Comic Book,Books,3,310.59,10,838.59,Debit Card,Desktop,Mumbai,Returned
ORD10134,CUST00344,2024-10-17,Comic Book,Books,5,454.94,0,2274.7,Credit Card,Mobile,Pune,Cancelled
ORD10135,CUST02057,2024-11-12,Perfume,Beauty,1,2576.62,0,2576.62,Credit Card,Desktop,Hyderabad,Delivered
ORD10136,CUST00564,2024-12-27,Shampoo,Beauty,1,280.22,5,266.21,UPI,Mobile,Pune,Returned
ORD10137,CUST00884,2024-09-03,Perfume,Beauty,4,2396.1,10,8625.96,Credit Card,Mobile,Jaipur,Cancelled
ORD10138,CUST01873,2024-05-02,History Book,Books,3,299.03,0,897.09,Debit Card,Mobile,Delhi,Delivered
ORD10139,CUST02338,2024-10-10,Face Cream,Beauty,5,641.37,0,3206.85,COD,Desktop,Bengaluru,Delivered
ORD10140,CUST01600,2024-12-18,Self Help,Books,3,484.57,0,1453.71,Net Banking,Desktop,Mumbai,Delivered
ORD10141,CUST00425,2024-06-03,History Book,Books,3,690.47,0,2071.41,UPI,Tablet,Nagpur,Returned
ORD10142,CUST01961,2024-11-06,Cookware Set,Home & Kitchen,5,919.71,5,4368.62,COD,Tablet,Bengaluru,Returned
ORD10143,CUST01271,2024-05-02,Jeans,Fashion,4,2016.28,0,8065.12,Debit Card,Tablet,Kolkata,Delivered
ORD10144,CUST01120,2024-06-25,Resistance Bands,Sports,2,476.32,5,905.01,Credit Card,Mobile,Indore,Cancelled
ORD10145,CUST01505,2024-05-06,Vacuum Cleaner,Home & Kitchen,4,11005.38,10,39619.37,COD,Tablet,Pune,Cancelled
ORD10146,CUST01211,2024-08-11,Bluetooth Speaker,Electronics,5,2013.03,0,10065.15,Credit Card,Desktop,Ahmedabad,Delivered
ORD10147,CUST01125,2024-07-24,Badminton Racket,Sports,4,1082.27,5,4112.63,UPI,Tablet,Indore,Delivered
ORD10148,CUST01795,2024-08-24,Laptop,Electronics,4,65203.28,5,247772.46,Debit Card,Mobile,Bengaluru,Delivered
ORD10149,CUST01843,2024-06-19,Smartwatch,Electronics,3,10006.64,5,28518.92,Credit Card,Desktop,Chennai,Delivered
ORD10150,CUST00465,2024-06-21,Shampoo,Beauty,5,349.87,5,1661.88,UPI,Mobile,Nagpur,Returned
ORD10151,CUST02012,2024-04-09,Handbag,Fashion,5,2973.53,0,14867.65,COD,Mobile,Delhi,Delivered
ORD10152,CUST00266,2024-11-28,Jeans,Fashion,4,1567.47,0,6269.88,UPI,Tablet,Jaipur,Cancelled
ORD10153,CUST00970,2024-08-04,Water Bottle,Home & Kitchen,2,794.95,5,1510.4,Debit Card,Desktop,Mumbai,Returned
ORD10154,CUST01631,2024-09-03,Pillow Set,Home & Kitchen,5,1487.07,0,7435.35,Credit Card,Tablet,Nagpur,Cancelled
ORD10155,CUST02120,2024-02-11,Face Wash,Beauty,5,495.12,0,2475.6,Credit Card,Desktop,Bengaluru,Delivered
ORD10156,CUST01246,2024-08-28,Cricket Bat,Sports,2,3209.46,10,5777.03,Credit Card,Mobile,Bengaluru,Delivered
ORD10157,CUST01241,2024-11-09,Air Purifier,Home & Kitchen,5,8460.23,5,40186.09,Debit Card,Tablet,Jaipur,Delivered
ORD10158,CUST02309,2024-03-20,Earphones,Electronics,5,2101.98,0,10509.9,Net Banking,Mobile,Bhopal,Cancelled
ORD10159,CUST00125,2024-09-25,Laptop,Electronics,5,37045.78,5,175967.45,Net Banking,Desktop,Coimbatore,Delivered
ORD10160,CUST00246,2024-04-26,Biography,Books,3,619.95,10,1673.87,COD,Mobile,Ahmedabad,Delivered
ORD10161,CUST01634,2024-03-28,Nail Polish,Beauty,3,238.33,20,571.99,UPI,Mobile,Indore,Cancelled
ORD10162,CUST01574,2024-04-08,Bedsheet,Home & Kitchen,4,655.29,0,2621.16,Debit Card,Tablet,Kolkata,Delivered
ORD10163,CUST01913,2024-03-06,Sneakers,Fashion,5,4252.91,5,20201.32,COD,Desktop,Coimbatore,Returned
ORD10164,CUST00208,2024-07-08,Rice Cooker,Home & Kitchen,4,1276.48,15,4340.03,Debit Card,Desktop,Ahmedabad,Delivered
ORD10165,CUST01641,2024-07-09,Resistance Bands,Sports,1,499.02,0,499.02,UPI,Mobile,Surat,Delivered
ORD10166,CUST00487,2024-06-15,Cycling Gloves,Sports,3,380.26,0,1140.78,Net Banking,Mobile,Delhi,Cancelled
ORD10167,CUST02086,2024-12-25,Hair Serum,Beauty,3,1273.39,15,3247.14,Debit Card,Desktop,Jaipur,Returned
ORD10168,CUST01305,2024-08-05,Smartphone,Electronics,3,16167.42,10,43652.03,Net Banking,Mobile,Kolkata,Delivered
ORD10169,CUST01946,2024-08-23,Running Shoes,Sports,5,4170.76,15,17725.73,Net Banking,Mobile,Chennai,Cancelled
ORD10170,CUST02370,2024-11-24,Bedsheet,Home & Kitchen,5,1183.92,5,5623.62,Credit Card,Tablet,Hyderabad,Delivered
ORD10171,CUST00130,2024-09-20,Fiction Novel,Books,2,432.41,15,735.1,COD,Tablet,Nagpur,Delivered
ORD10172,CUST01932,2024-03-23,Smartwatch,Electronics,3,3170.44,10,8560.19,Debit Card,Tablet,Nagpur,Delivered
ORD10173,CUST00710,2024-12-16,Earphones,Electronics,5,1941.1,5,9220.23,Net Banking,Desktop,Coimbatore,Delivered
ORD10174,CUST01220,2024-07-08,Football,Sports,3,1591.55,20,3819.72,UPI,Desktop,Nagpur,Delivered
ORD10175,CUST00500,2024-12-26,Handbag,Fashion,3,2130.57,15,5432.95,UPI,Tablet,Lucknow,Cancelled
ORD10176,CUST00173,2024-12-26,Badminton Racket,Sports,4,3196.71,5,12147.5,Debit Card,Desktop,Nagpur,Cancelled
ORD10177,CUST02303,2024-04-27,Smart TV,Electronics,3,66200.48,10,178741.3,Net Banking,Tablet,Pune,Cancelled
ORD10178,CUST00954,2024-04-22,Jeans,Fashion,5,1845.65,0,9228.25,Net Banking,Mobile,Delhi,Returned
ORD10179,CUST01949,2024-01-18,Hair Serum,Beauty,1,1188.09,0,1188.09,Debit Card,Desktop,Lucknow,Delivered
ORD10180,CUST00718,2024-09-08,Jacket,Fashion,1,2944.25,0,2944.25,Net Banking,Desktop,Coimbatore,Delivered
ORD10181,CUST02327,2024-03-24,T-Shirt,Fashion,4,997.02,10,3589.27,UPI,Tablet,Delhi,Delivered
ORD10182,CUST00462,2024-07-05,Water Bottle,Home & Kitchen,5,517.04,15,2197.42,Net Banking,Desktop,Bengaluru,Delivered
ORD10183,CUST00792,2024-10-26,Comic Book,Books,2,375.9,0,751.8,UPI,Mobile,Surat,Delivered
ORD10184,CUST00576,2024-02-22,History Book,Books,5,621.15,5,2950.46,Credit Card,Desktop,Chennai,Returned
ORD10185,CUST00047,2024-10-11,T-Shirt,Fashion,2,481.55,10,866.79,UPI,Desktop,Lucknow,Delivered
ORD10186,CUST00481,2024-05-13,Air Purifier,Home & Kitchen,1,5621.24,10,5059.12,Net Banking,Tablet,Coimbatore,Cancelled
ORD10187,CUST01704,2024-07-15,Pillow Set,Home & Kitchen,2,1766.79,0,3533.58,Net Banking,Tablet,Jaipur,Cancelled
ORD10188,CUST00460,2024-08-17,Lipstick,Beauty,5,656.12,0,3280.6,UPI,Mobile,Bhopal,Delivered
ORD10189,CUST02389,2024-05-17,Cycling Gloves,Sports,2,485.35,0,970.7,COD,Desktop,Delhi,Delivered
ORD10190,CUST01263,2024-08-15,Resistance Bands,Sports,4,865.08,0,3460.32,Net Banking,Tablet,Mumbai,Delivered
ORD10191,CUST00247,2024-02-14,Sunscreen,Beauty,2,870.52,20,1392.83,UPI,Mobile,Coimbatore,Delivered
ORD10192,CUST01838,2024-10-24,Face Cream,Beauty,2,399.96,0,799.92,COD,Desktop,Kolkata,Delivered
ORD10193,CUST00913,2024-03-18,Earphones,Electronics,3,2237.78,0,6713.34,COD,Mobile,Indore,Cancelled
ORD10194,CUST01887,2024-08-27,Tablet PC,Electronics,5,26575.1,10,119587.95,Debit Card,Desktop,Bengaluru,Returned
ORD10195,CUST00276,2024-11-14,Air Purifier,Home & Kitchen,1,14374.1,0,14374.1,Net Banking,Mobile,Surat,Delivered
ORD10196,CUST00232,2024-10-13,Power Bank,Electronics,1,2115.13,0,2115.13,COD,Mobile,Jaipur,Delivered
ORD10197,CUST01237,2024-08-25,Air Purifier,Home & Kitchen,5,13157.86,5,62499.83,UPI,Mobile,Lucknow,Returned
ORD10198,CUST00193,2024-08-19,Cycling Gloves,Sports,3,405.78,0,1217.34,Debit Card,Desktop,Lucknow,Delivered
ORD10199,CUST00988,2024-06-10,History Book,Books,3,602.61,10,1627.05,COD,Mobile,Pune,Delivered
ORD10200,CUST00995,2024-06-14,Technical Book,Books,1,1124.2,15,955.57,Net Banking,Desktop,Hyderabad,Delivered
ORD10201,CUST00162,2024-08-27,Bedsheet,Home & Kitchen,3,1137.78,0,3413.34,Debit Card,Mobile,Hyderabad,Delivered
ORD10202,CUST00481,2024-12-01,Cycling Gloves,Sports,3,438.7,5,1250.29,Debit Card,Tablet,Indore,Returned
ORD10203,CUST01560,2024-12-18,Lipstick,Beauty,2,616.38,10,1109.48,UPI,Desktop,Jaipur,Cancelled
ORD10204,CUST01312,2024-11-15,Science Book,Books,3,611.16,15,1558.46,Credit Card,Mobile,Chennai,Delivered
ORD10205,CUST01210,2024-01-18,Vacuum Cleaner,Home & Kitchen,2,3411.44,0,6822.88,Net Banking,Mobile,Hyderabad,Delivered
ORD10206,CUST02002,2024-08-22,Air Purifier,Home & Kitchen,2,8798.4,10,15837.12,UPI,Tablet,Lucknow,Cancelled
ORD10207,CUST00241,2024-03-18,Comic Book,Books,3,310.29,0,930.87,COD,Tablet,Mumbai,Delivered
ORD10208,CUST00038,2024-11-08,Smartphone,Electronics,4,37930.17,0,151720.68,Credit Card,Mobile,Jaipur,Returned
ORD10209,CUST00049,2024-09-01,Hair Serum,Beauty,5,465.5,10,2094.75,Credit Card,Mobile,Jaipur,Delivered
ORD10210,CUST00735,2024-08-23,Biography,Books,3,566.87,0,1700.61,COD,Mobile,Coimbatore,Returned
ORD10211,CUST01664,2024-04-12,Earphones,Electronics,5,1330.13,15,5653.05,UPI,Desktop,Surat,Delivered
ORD10212,CUST00230,2024-02-13,Dress,Fashion,1,1318.94,0,1318.94,COD,Tablet,Mumbai,Cancelled
ORD10213,CUST00942,2024-08-28,Technical Book,Books,4,473.42,5,1799.0,Credit Card,Mobile,Coimbatore,Delivered
ORD10214,CUST01289,2024-11-19,Comic Book,Books,1,243.88,5,231.69,Credit Card,Mobile,Hyderabad,Returned
